"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"72","Matemática","Sim","Estágio","Sim","","Casa, Bares, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica, Desmaio","Uma a duas vezes","Sim","Mais de 100 reais","Sim, e consegui","Discontração "
"73","Química","Não","Não realizo","Sim","","Bares, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Não","20 a 50 reais","Nunca tentei","A companhia, a sensação "
"74","Ciência da Computação","Não","Não realizo","Não","Sim","Outros ambientes","Não bebo","Zero a uma vez","Não","0 a 20 reais","Sim, e consegui","O sentimento de ficar viradão"
"75","Ciência da Computação","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"76","Ciência da Computação","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Sim","20 a 50 reais","Sim, e consegui","socialização"
"77","Matemática","Sim","Bolsista","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"78","Informática","Sim","Estágio","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"79","Matemática","Sim","Trabalho Integral (CLT)","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"80","Matemática","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"81","Química","Sim","Trabalho Integral (CLT)","Sim","Sim","Casa, Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Sim","Mais de 100 reais","Nunca tentei",""
"82","Matemática","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"83","Ciência da Computação","Sim","Estágio","Sim","","Casa, Bares","Ressaca","Uma a duas vezes","Não","20 a 50 reais","Sim, e consegui","Relaxar a mente, ter um convívio social sem extrapolar no álcool. Já tive ressaca muito anos atrás. Mas nunca fui alcoólatra pois para confraternização e relaxamento mental. Jogo mais vídeo game que ingerir bebida alcoólica. Sou mais casado que rueiro."
